year,month,side,departures_performed,departures_scheduled,seats,passengers,active_routes,active_carriers,days,departures_per_day,seats_per_day,passengers_per_day,passengers_per_departure,load_factor
2024,1,arr,3689,2530,661309,545027,75,25,31,119.0,21332.548387096773,17581.516129032258,147.7438330170778,0.824163893127116
2024,1,dep,3691,2525,660460,509171,75,25,31,119.06451612903226,21305.16129032258,16424.870967741936,137.94933622324572,0.7709338945583382
2024,2,arr,3378,2294,603989,472236,76,26,29,116.48275862068965,20827.206896551725,16284.0,139.797513321492,0.7818619213263818
2024,2,dep,3385,2297,606419,484844,76,26,29,116.72413793103448,20911.0,16718.758620689656,143.23308714918758,0.799519803963926
2024,3,arr,3794,2598,685399,587701,80,25,31,122.38709677419355,22109.645161290322,18958.09677419355,154.90274117026885,0.8574582104730237
2024,3,dep,3802,2604,687211,591956,81,25,31,122.64516129032258,22168.09677419355,19095.354838709678,155.69594950026303,0.8613890057056712
2024,4,arr,3965,2859,718549,619734,81,25,30,132.16666666666666,23951.633333333335,20657.8,156.30113493064312,0.8624798030475305
2024,4,dep,3992,2866,723775,599976,83,25,30,133.06666666666666,24125.833333333332,19999.2,150.29458917835672,0.8289537494387068
2024,5,arr,4096,2905,752182,631397,87,25,31,132.1290322580645,24263.935483870966,20367.645161290322,154.149658203125,0.8394205125887085
2024,5,dep,4112,2912,754532,677758,88,25,31,132.6451612903226,24339.74193548387,21863.16129032258,164.82441634241246,0.898249510955135
2024,6,arr,4295,3197,798613,682503,89,25,30,143.16666666666666,26620.433333333334,22750.1,158.90640279394646,0.8546104308344592
2024,6,dep,4330,3203,805446,730626,90,25,30,144.33333333333334,26848.2,24354.2,168.73579676674365,0.9071073666018579
2024,7,arr,4879,3389,893932,799116,89,27,31,157.38709677419354,28836.516129032258,25777.935483870966,163.78684156589466,0.8939337667742066
2024,7,dep,4902,3387,895258,771788,90,26,31,158.1290322580645,28879.290322580644,24896.387096774193,157.44349245206038,0.8620844493989442
2024,8,arr,4265,3254,792142,738118,88,25,31,137.58064516129033,25552.967741935485,23810.25806451613,173.06400937866354,0.9318001065465535
2024,8,dep,4346,3252,806400,717972,89,25,31,140.19354838709677,26012.90322580645,23160.387096774193,165.20294523699954,0.890342261904762
2024,9,arr,3885,2711,710983,621160,82,25,30,129.5,23699.433333333334,20705.333333333332,159.8867438867439,0.8736636459662186
2024,9,dep,3892,2701,711246,606100,84,25,30,129.73333333333332,23708.2,20203.333333333332,155.72970195272353,0.8521664796708874
2024,10,arr,3752,2604,681662,599391,79,26,31,121.03225806451613,21989.09677419355,19335.1935483871,159.7523987206823,0.8793082202029745
2024,10,dep,3757,2596,680466,573732,81,26,31,121.19354838709677,21950.516129032258,18507.483870967742,152.71014107000266,0.8431457266050031
2024,11,arr,3424,2396,619468,507374,77,26,30,114.13333333333334,20648.933333333334,16912.466666666667,148.18165887850466,0.8190479572794721
2024,11,dep,3438,2394,622024,529088,78,26,30,114.6,20734.133333333335,17636.266666666666,153.89412449098313,0.8505909739817114
2024,12,arr,3727,2683,672664,553094,79,25,31,120.2258064516129,21698.83870967742,17841.74193548387,148.40193184867186,0.8222440921470452
2024,12,dep,3745,2688,676105,613162,79,25,31,120.80645161290323,21809.83870967742,19779.41935483871,163.72817089452604,0.9069035135075173
2025,1,arr,3968,2576,692495,577711,82,28,31,128.0,22338.548387096773,18635.83870967742,145.59248991935485,0.8342457346262427
2025,1,dep,3961,2569,692799,544551,81,28,31,127.7741935483871,22348.354838709678,17566.16129032258,137.47816208028274,0.7860158574131891
2025,2,arr,3427,2294,607997,483326,82,29,28,122.39285714285714,21714.178571428572,17261.64285714286,141.03472424861394,0.7949480013881648
2025,2,dep,3416,2295,606387,485894,83,29,28,122.0,21656.678571428572,17353.35714285714,142.24063231850118,0.8012935633514571
2025,3,arr,4134,2774,730353,594918,87,28,31,133.3548387096774,23559.774193548386,19190.90322580645,143.90856313497824,0.8145622733116725
2025,3,dep,4158,2779,735118,597770,89,28,31,134.1290322580645,23713.483870967742,19282.90322580645,143.76382876382877,0.8131619685547082
2025,4,arr,4090,2883,759527,636541,87,27,30,136.33333333333334,25317.566666666666,21218.033333333333,155.63349633251835,0.838075539118425
2025,4,dep,4129,2889,766552,628055,87,27,30,137.63333333333333,25551.733333333334,20935.166666666668,152.10825865827076,0.8193247163923648
2025,5,arr,4118,2835,773058,580691,92,29,31,132.83870967741936,24937.354838709678,18731.967741935485,141.01287032540068,0.7511609736914954
2025,5,dep,4148,2841,778228,624865,93,29,31,133.80645161290323,25104.129032258064,20156.935483870966,150.64247830279652,0.8029330735979687
2025,6,arr,4185,3063,795125,620717,94,28,30,139.5,26504.166666666668,20690.566666666666,148.3194743130227,0.7806533563905046
2025,6,dep,4204,3072,797951,687673,96,27,30,140.13333333333333,26598.366666666665,22922.433333333334,163.57588011417698,0.8617985314887756
2025,7,arr,4802,3462,883647,778494,95,31,31,154.90322580645162,28504.74193548387,25112.709677419356,162.11870054144106,0.8810011237519054
2025,7,dep,4838,3467,891776,764208,99,32,31,156.06451612903226,28766.967741935485,24651.870967741936,157.9594873914841,0.8569506243720396
2025,8,arr,4877,3491,886128,818239,96,31,31,157.32258064516128,28584.774193548386,26394.8064516129,167.77506663932746,0.923386914757236
2025,8,dep,4903,3491,891568,787681,98,30,31,158.16129032258064,28760.25806451613,25409.064516129034,160.65286559249438,0.8834783213394828
2025,9,arr,4171,2882,762296,646343,88,30,30,139.03333333333333,25409.866666666665,21544.766666666666,154.96116039319108,0.8478897960897079
2025,9,dep,4195,2869,766202,630023,89,30,30,139.83333333333334,25540.066666666666,21000.766666666666,150.18426698450537,0.8222674960389036
2025,10,arr,4111,2781,736456,631479,85,28,31,132.61290322580646,23756.645161290322,20370.290322580644,153.60715154463634,0.8574565215029818
2025,10,dep,4110,2769,737127,608508,84,28,31,132.58064516129033,23778.290322580644,19629.290322580644,148.05547445255473,0.8255131069679987
2025,11,arr,3897,2680,703856,553036,77,28,30,129.9,23461.866666666665,18434.533333333333,141.91326661534515,0.7857232161123866
2025,11,dep,3908,2678,707007,576416,78,26,30,130.26666666666668,23566.9,19213.866666666665,147.496417604913,0.8152903719482268
2025,12,arr,4194,2892,731576,578220,83,27,31,135.29032258064515,23599.225806451614,18652.25806451613,137.8683834048641,0.7903758461185167
2025,12,dep,4200,2889,734089,656790,83,27,31,135.48387096774192,23680.290322580644,21186.774193548386,156.37857142857143,0.894700778788403
