window,side,metric,metric_label,unit,coef,ci_low,ci_high
2024_same_calendar,arr,scheduled_ops,Scheduled ops/day,ops,-12.029864785420735,-18.59656084656071,-5.397189153439103
2024_same_calendar,arr,cancel_rate,Cancellation rate,pp,0.006419403788749538,-0.0034963218336280678,0.014280022973064547
2024_same_calendar,arr,delay15_rate,Delay-15-plus rate,pp,0.020473242165083356,-0.0025120511517133268,0.044940358800189525
2024_same_calendar,arr,nas_delay_per_scheduled_op,NAS delay,min,2.544293739124572,-0.17701503188737094,4.037569635697713
2024_same_calendar,dep,scheduled_ops,Scheduled ops/day,ops,-12.497824808936286,-19.67908163265302,-5.861904761903227
2024_same_calendar,dep,cancel_rate,Cancellation rate,pp,0.00669703984807532,-0.000812264041626047,0.012998052029298846
2024_same_calendar,dep,delay15_rate,Delay-15-plus rate,pp,0.0034129668303135574,-0.03261159935748642,0.03353076436530866
2024_same_calendar,dep,nas_delay_per_scheduled_op,NAS delay,min,-0.6231409997235664,-1.3740657976156803,-0.041507096230082266
