period,side,hour,avg_ops,p90_ops,share_above_28,share_above_34,share_above_period_target
cap_20250616_1025,arr,8,19.651515151515152,22.0,0.0,0.0,0.0
cap_20250616_1025,arr,9,22.939393939393938,25.0,0.0,0.0,0.0
cap_20250616_1025,arr,10,16.075757575757574,18.0,0.0,0.0,0.0
cap_20250616_1025,arr,11,16.59090909090909,19.0,0.0,0.0,0.0
cap_20250616_1025,arr,12,13.871212121212121,16.0,0.0,0.0,0.0
cap_20250616_1025,arr,13,15.992424242424242,18.0,0.0,0.0,0.0
cap_20250616_1025,arr,14,18.636363636363637,22.0,0.0,0.0,0.0
cap_20250616_1025,arr,15,18.939393939393938,20.0,0.0,0.0,0.0
cap_20250616_1025,arr,16,16.856060606060606,18.0,0.0,0.0,0.0
cap_20250616_1025,arr,17,20.12121212121212,22.0,0.0,0.0,0.0
cap_20250616_1025,arr,18,19.242424242424242,22.0,0.0,0.0,0.0
cap_20250616_1025,arr,19,18.03030303030303,20.0,0.0,0.0,0.0
cap_20250616_1025,arr,20,19.075757575757574,21.0,0.0,0.0,0.0
cap_20250616_1025,arr,21,20.96212121212121,23.0,0.0,0.0,0.0
cap_20250616_1025,arr,22,17.53787878787879,21.0,0.0,0.0,0.0
cap_20250616_1025,dep,6,32.15151515151515,34.0,0.9621212121212122,0.0,0.0
cap_20250616_1025,dep,7,24.446969696969695,27.0,0.0,0.0,0.0
cap_20250616_1025,dep,8,14.340909090909092,16.0,0.0,0.0,0.0
cap_20250616_1025,dep,9,20.71969696969697,23.0,0.0,0.0,0.0
cap_20250616_1025,dep,10,21.242424242424242,23.0,0.0,0.0,0.0
cap_20250616_1025,dep,11,20.598484848484848,23.0,0.0,0.0,0.0
cap_20250616_1025,dep,12,11.780303030303031,13.0,0.0,0.0,0.0
cap_20250616_1025,dep,13,22.87878787878788,26.0,0.0,0.0,0.0
cap_20250616_1025,dep,14,21.46212121212121,23.0,0.0,0.0,0.0
cap_20250616_1025,dep,15,21.25,24.0,0.0,0.0,0.0
cap_20250616_1025,dep,16,24.643939393939394,26.0,0.0,0.0,0.0
cap_20250616_1025,dep,17,13.704545454545455,16.0,0.0,0.0,0.0
cap_20250616_1025,dep,18,19.03787878787879,22.0,0.0,0.0,0.0
cap_20250616_1025,dep,19,21.651515151515152,25.0,0.0,0.0,0.0
cap_20250616_1025,dep,20,16.939393939393938,18.0,0.0,0.0,0.0
cap_20250616_1025,dep,21,15.916666666666666,18.0,0.0,0.0,0.0
cap_20250616_1025,dep,22,6.196969696969697,8.0,0.0,0.0,0.0
