airport,side,cancel_rate_cap_20250616_1025,cancel_rate_extension_20251026_1231,cancel_rate_interim_20250520_0615,cancel_rate_pre_20250101_0414,cancel_rate_stress_20250415_0519,delay15_rate_cap_20250616_1025,delay15_rate_extension_20251026_1231,delay15_rate_interim_20250520_0615,delay15_rate_pre_20250101_0414,delay15_rate_stress_20250415_0519,nas_delay_per_scheduled_op_cap_20250616_1025,nas_delay_per_scheduled_op_extension_20251026_1231,nas_delay_per_scheduled_op_interim_20250520_0615,nas_delay_per_scheduled_op_pre_20250101_0414,nas_delay_per_scheduled_op_stress_20250415_0519,ops_per_day_cap_20250616_1025,ops_per_day_extension_20251026_1231,ops_per_day_interim_20250520_0615,ops_per_day_pre_20250101_0414,ops_per_day_stress_20250415_0519,ops_per_day_change,cancel_rate_change,delay15_rate_change,nas_delay_per_scheduled_op_change
ATL,arr,0.011362963339002123,0.023577751913377774,0.0067080949833326475,0.021282111713410323,0.003390053648421815,0.17324216075585375,0.1905217721107479,0.22389791183294663,0.19332000866905868,0.19319682959048878,2.2551970962256007,3.156791168483053,3.5548788015967734,3.0637638463351404,2.6079057367606886,895.3863636363636,846.3582089552239,899.9629629629629,815.9615384615385,868.0857142857143,31.877248677248645,0.0033180413349108324,0.03070108224245785,0.9469730648360848
ATL,dep,0.010949955150879213,0.022627865961199294,0.006622788975730152,0.020112403237778798,0.0029957861469581248,0.2291495550992471,0.23438656008084163,0.29272433641144563,0.23101988793497344,0.23242529304936438,3.2294751806657978,3.23978835978836,4.132250102838338,3.1221825551117552,4.818475111930471,895.2575757575758,846.2686567164179,900.3703703703703,816.0865384615385,867.8857142857142,32.48465608465608,0.0036270028287720274,0.06029904336208125,-0.6862250090921336
AUS,arr,0.008257535777481142,0.007137192704203013,0.006229605458320973,0.012003165670066832,0.008902763325239912,0.23338654646758694,0.2430572622265913,0.2873134328358209,0.1870855769658671,0.23553429771348577,2.644863874833142,3.4279265540169583,5.0817264906555915,1.9360710517059445,4.172274251358538,244.03787878787878,244.67164179104478,249.7037037037037,218.69230769230768,247.11428571428573,2.589417989417967,-0.002673157866918939,0.05177913512233512,0.9094522392970532
AUS,dep,0.009033900409785174,0.008114209017143555,0.006227758007117438,0.012313104661389622,0.00983341045812124,0.2407192757119138,0.25796530938614837,0.30483437779767236,0.1835707925200356,0.2476924874401215,3.443685583012542,3.463608077603563,4.127372479240806,2.1421723834652595,3.820916242480333,244.03030303030303,244.6417910447761,249.77777777777777,218.65384615384616,246.97142857142856,2.8063492063492106,-0.003605652451003802,0.05714189035755085,0.3064562367604733
BNA,arr,0.009194362800512473,0.011179487179487179,0.008387251377905584,0.020614359733530718,0.007671180983047637,0.22608453132527065,0.2511150295612488,0.24420009666505557,0.1955938480142085,0.20700515365527772,2.5779385535207378,4.112923076923077,3.280014378145219,2.608845299777942,2.6464627332133723,301.5681818181818,291.04477611940297,309.1111111111111,259.8076923076923,301.6857142857143,7.425396825396774,0.0007160703948579468,0.03719494300977785,0.6335516449318468
BNA,dep,0.009998995075871773,0.011022249564236645,0.008148591971240264,0.021051463243183247,0.009093492469451549,0.2604171953509618,0.2755170805038619,0.2671257702065966,0.19610733182161755,0.22703374438390211,3.2472867048537837,3.0661334973854197,4.233313361294188,2.821266047578527,4.016387231220991,301.54545454545456,291.13432835820896,309.0740740740741,259.8942307692308,301.62857142857143,7.445502645502643,-0.000944900498211285,0.0400920258226945,0.2169261300731975
BOS,arr,0.01893274580828261,0.024002243949350858,0.0029417172274315132,0.016069316604103462,0.0072782202691568255,0.3094929963459196,0.2570513610050499,0.27023787571454916,0.19788863048420394,0.24823627057684328,10.07533888494716,5.494670620291713,7.217687074829932,3.2711215097444337,6.373661082120297,405.74242424242425,372.4776119402985,402.8888888888889,373.9807692307692,416.1142857142857,-13.225396825396786,-0.004336503041725313,0.022001605137705882,0.8440259927096356
BOS,dep,0.01963859020310633,0.023517628205128205,0.0028500505654132573,0.015940762071270632,0.007211538461538462,0.2568360118820931,0.24055307102121198,0.2150101419878296,0.1883001515389037,0.21369768246281565,4.313228046594982,5.579567307692308,4.012319573411786,5.0960559469326885,4.680425824175824,405.8181818181818,372.53731343283584,402.85185185185185,373.9807692307692,416.0,-13.148148148148152,-0.004361487896125204,0.0013124595250139648,-0.6681062507640378
BWI,arr,0.013500931098696461,0.01501658809149642,0.007300238916910008,0.019523546580421235,0.002730232069725927,0.22010937456624935,0.19547361578916267,0.22128626821767616,0.1603041152097832,0.19922080657049596,3.64196516595465,1.6204528257959374,3.374435890629148,2.0836159974757433,2.7367426231229652,276.6363636363636,256.43283582089555,279.037037037037,243.78846153846155,272.0857142857143,6.951322751322721,0.004570006847184081,0.022065461647180207,0.6376932675061826
BWI,dep,0.013336619564026727,0.01426242868785656,0.007436918990703851,0.01873176117990378,0.003046858583736079,0.28041300063837465,0.2617374357762948,0.28137543484078137,0.21568942651609532,0.25060596480134895,3.437561616825501,3.0968098730934916,4.9800796812749,2.9399006230775298,3.224837150661904,276.6363636363636,256.3880597014925,278.8888888888889,243.82692307692307,271.9428571428571,6.946031746031792,0.004390060406967772,0.030769470039432423,1.7552425306129966
CLE,arr,0.018096828046744576,0.02485420716467648,0.007592534008225245,0.017527675276752766,0.008517034068136272,0.24340315560391731,0.257724619108643,0.22473700988205292,0.20291079812206572,0.2013643254168772,2.292220367278798,2.5206886975840046,2.164504903511547,1.9661439114391144,1.9746993987975952,113.4469696969697,107.49253731343283,117.07407407407408,104.23076923076923,114.05714285714286,3.016931216931212,-0.0009245000599110275,0.023372684465175708,0.18980550471395174
CLE,dep,0.020611612555570525,0.026440962506994965,0.006660323501427212,0.01735438013477338,0.010785051417105593,0.18528198074277855,0.21267423480385111,0.1772030651340996,0.16420854861437295,0.16962474645030426,4.431159908392833,6.056799104644655,5.145258483983508,4.270839102741623,5.154752947078004,112.46969696969697,106.68656716417911,116.77777777777777,104.16346153846153,113.91428571428571,2.8634920634920604,-0.004124727915678381,0.007578318683795354,-0.009494463094496197
CLT,arr,0.01388120138666356,0.012149192078726764,0.012132401424238428,0.028758527536033647,0.013071248205178987,0.1923752972629651,0.19527118435616775,0.2157922840742224,0.19044098230789544,0.20433452064415794,2.1570775191540186,2.3370489612440775,2.562442305156271,2.04922461401679,2.4083279695004207,520.1060606060606,491.4029850746269,561.7037037037037,562.375,577.0571428571428,-15.353439153439126,-0.0009388467809405589,0.011457763430064466,0.1541143356558501
CLT,dep,0.013373151722630927,0.011051401159789902,0.01278586963685494,0.027668051779271192,0.01218364617899064,0.2615648116703826,0.23445798667608142,0.2537552573603044,0.21396035947310107,0.2406618200050138,3.0689489401995775,2.516561921243586,3.5217821129638174,2.690606884522649,3.8635035411817147,520.0378787878788,491.5970149253731,561.9629629629629,562.2980769230769,576.8857142857142,-14.92275132275131,0.000602223457864301,0.013093437355290616,-0.3417214282178973
CMH,arr,0.016436712657468506,0.019844260236121576,0.0052585451358457495,0.01374685666387259,0.011528028933092224,0.24634057087094413,0.23833931317273194,0.2675477239353891,0.202107768145504,0.23279213354676423,2.758908218356329,2.5457171564933434,2.993572889278411,2.4069572506286674,3.3087703435804703,126.28787878787878,118.83582089552239,126.77777777777777,114.71153846153847,126.4,0.3777777777777658,-0.006269483797246475,0.034755590388624885,-0.3151974543020595
CMH,dep,0.017217589537464755,0.018195507591918684,0.008182349503214495,0.013836477987421384,0.011770031688546853,0.19655719692345258,0.22252044989775052,0.18945197407189157,0.16071428571428573,0.18071461291800275,4.128621992920991,5.827079934747145,4.433080070134424,3.6053668763102724,4.569035762788592,126.28030303030303,118.94029850746269,126.74074074074075,114.66346153846153,126.22857142857143,0.5121693121693198,-0.003587682185332359,0.008737361153888817,-0.13595569265416785
CVG,arr,0.014401152092167373,0.019073113602141544,0.0037764350453172208,0.022315510384445427,0.010548523206751054,0.24831561003328192,0.26658707146512023,0.26648976497346477,0.23966101694915254,0.232713981114834,2.4757980638451076,2.851095867492053,2.4830060422960725,2.807887759611136,2.6916817359855334,94.68939393939394,89.2089552238806,98.07407407407408,87.03846153846153,94.8,3.274074074074079,-0.006772088161433834,0.03377578385863078,-0.20867569368946093
CVG,dep,0.013918886489080873,0.02091350175673415,0.006042296072507553,0.022656940760389037,0.00784313725490196,0.1982639733917417,0.21257689678742311,0.22530395136778114,0.18093407214746127,0.17725752508361203,4.059915206783457,6.0684289777480345,4.304003021148036,4.377320954907161,3.817797888386124,94.70454545454545,89.2089552238806,98.07407407407408,87.0,94.71428571428571,3.359788359788368,-0.0018008411823944078,0.04804642628416911,0.48620513276191213
DAL,arr,0.0073799297149550955,0.015472998851014937,0.0113345521023766,0.021852237252861603,0.025830258302583026,0.21265882538059086,0.21224616820975648,0.26904585798816566,0.1624113475177305,0.22872960372960374,2.502499023818821,2.200076599004213,4.145155393053017,1.6402061344829295,4.429747374396821,194.0151515151515,194.8507462686567,202.59259259259258,194.04807692307693,201.31428571428572,1.2783068783068643,-0.014495706200206427,0.04031625425856192,-0.28459198134380426
DAL,dep,0.006949053289088424,0.01463040980467254,0.011517367458866544,0.022148449113071053,0.02441794434980125,0.2870228407437984,0.28233830845771146,0.3538006288144997,0.21150240689130986,0.3039871944121071,2.5585008783915675,2.179165070854079,3.9515539305301646,1.8300961252601329,3.171351504826803,194.0530303030303,194.8507462686567,202.59259259259258,194.05769230769232,201.25714285714287,1.3354497354497141,-0.012900576890934707,0.04981343440239261,0.7802024257033615
DCA,arr,0.03846079809043485,0.025303963366492974,0.021779947427713105,0.05504587155963303,0.019550272128329993,0.268883505835719,0.3140010530152687,0.2658349328214971,0.2872276738072308,0.2699583668103133,5.462934801439873,6.461905889783673,5.507510326699212,6.693238556706103,6.224076195932398,393.5530303030303,378.089552238806,394.51851851851853,390.9326923076923,398.9714285714286,-4.452910052910056,0.0022296752993831125,-0.004123433988816205,-0.716565869233186
DCA,dep,0.03961177761944193,0.025754463580344448,0.022895749272778456,0.05597657595590768,0.019553072625698324,0.25344882900224575,0.2861660720077846,0.2480553154710458,0.252404410039878,0.235152312075389,4.011457952203971,4.410412387422974,4.922398423571361,3.4563013631218937,4.184787279759346,393.4015151515151,377.85074626865674,394.7037037037037,390.78846153846155,398.9142857142857,-4.210582010582016,0.003342676647080132,0.012903003395656809,0.737611143812015
DEN,arr,0.007271433771218689,0.01069575534345062,0.009162356965427373,0.009355243584975827,0.006562342251388188,0.24994791883671513,0.19671720335797518,0.3594443531152392,0.1909599615217672,0.2684959349593496,6.435516693689818,3.190593401923111,15.293154701307163,3.0203142432130905,9.601514386673397,915.7878787878788,842.8507462686567,909.5185185185185,827.3846153846154,849.0,60.518518518518476,0.0026000147140391857,0.09094841815588961,5.691640314633766
DEN,dep,0.006758657202892077,0.009613341831315063,0.00891657505801881,0.008006414427814447,0.005925327408005925,0.2748761087744139,0.22296705457535618,0.3617204831156027,0.21511825412630173,0.272056084261862,3.412658625767277,2.6230613979179944,4.413297504173283,3.0116900622850236,3.8853314480018852,915.7727272727273,843.044776119403,909.6666666666666,827.4615384615385,848.6571428571428,61.009523809523785,0.0029912476500128845,0.08966439885374067,0.5279660561713975
