airport,side,period,scheduled_ops,operated_ops,cancelled_ops,delay15_ops,nas_delay_minutes,days,ops_per_day,cancel_rate,delay15_rate,nas_delay_per_scheduled_op
BNA,arr,extension_20251026_1231,19500,19282,218.0,4842.0,80202.0,67,291.04477611940297,0.011179487179487179,0.2511150295612488,4.112923076923077
BNA,arr,interim_20250520_0615,8346,8276,70.0,2021.0,27375.0,27,309.1111111111111,0.008387251377905584,0.24420009666505557,3.280014378145219
BNA,arr,pre_20250101_0414,27020,26463,557.0,5176.0,70491.0,104,259.8076923076923,0.020614359733530718,0.1955938480142085,2.608845299777942
BNA,arr,stress_20250415_0519,10559,10478,81.0,2169.0,27944.0,35,301.6857142857143,0.007671180983047637,0.20700515365527772,2.6464627332133723
BNA,dep,cap_20250616_1025,39804,39406,398.0,10262.0,129255.0,132,301.54545454545456,0.009998995075871773,0.2604171953509618,3.2472867048537837
BNA,dep,extension_20251026_1231,19506,19291,215.0,5315.0,59808.0,67,291.13432835820896,0.011022249564236645,0.2755170805038619,3.0661334973854197
BNA,dep,interim_20250520_0615,8345,8277,68.0,2211.0,35327.0,27,309.0740740740741,0.008148591971240264,0.2671257702065966,4.233313361294188
BNA,dep,pre_20250101_0414,27029,26460,569.0,5189.0,76256.0,104,259.8942307692308,0.021051463243183247,0.19610733182161755,2.821266047578527
BNA,dep,stress_20250415_0519,10557,10461,96.0,2375.0,42401.0,35,301.62857142857143,0.009093492469451549,0.22703374438390211,4.016387231220991
BOS,arr,cap_20250616_1025,53558,52544,1014.0,16262.0,539615.0,132,405.74242424242425,0.01893274580828261,0.3094929963459196,10.07533888494716
BOS,arr,extension_20251026_1231,24956,24357,599.0,6261.0,137125.0,67,372.4776119402985,0.024002243949350858,0.2570513610050499,5.494670620291713
BOS,arr,interim_20250520_0615,10878,10846,32.0,2931.0,78514.0,27,402.8888888888889,0.0029417172274315132,0.27023787571454916,7.217687074829932
BOS,arr,pre_20250101_0414,38894,38269,625.0,7573.0,127227.0,104,373.9807692307692,0.016069316604103462,0.19788863048420394,3.2711215097444337
BOS,arr,stress_20250415_0519,14564,14458,106.0,3589.0,92826.0,35,416.1142857142857,0.0072782202691568255,0.24823627057684328,6.373661082120297
BOS,dep,cap_20250616_1025,53568,52516,1052.0,13488.0,231051.0,132,405.8181818181818,0.01963859020310633,0.2568360118820931,4.313228046594982
BOS,dep,extension_20251026_1231,24960,24373,587.0,5863.0,139266.0,67,372.53731343283584,0.023517628205128205,0.24055307102121198,5.579567307692308
BOS,dep,interim_20250520_0615,10877,10846,31.0,2332.0,43642.0,27,402.85185185185185,0.0028500505654132573,0.2150101419878296,4.012319573411786
BOS,dep,pre_20250101_0414,38894,38274,620.0,7207.0,198206.0,104,373.9807692307692,0.015940762071270632,0.1883001515389037,5.0960559469326885
BOS,dep,stress_20250415_0519,14560,14455,105.0,3089.0,68147.0,35,416.0,0.007211538461538462,0.21369768246281565,4.680425824175824
BWI,arr,cap_20250616_1025,36516,36023,493.0,7929.0,132990.0,132,276.6363636363636,0.013500931098696461,0.22010937456624935,3.64196516595465
BWI,arr,extension_20251026_1231,17181,16923,258.0,3308.0,27841.0,67,256.43283582089555,0.01501658809149642,0.19547361578916267,1.6204528257959374
BWI,arr,interim_20250520_0615,7534,7479,55.0,1655.0,25423.0,27,279.037037037037,0.007300238916910008,0.22128626821767616,3.374435890629148
BWI,arr,pre_20250101_0414,25354,24859,495.0,3985.0,52828.0,104,243.78846153846155,0.019523546580421235,0.1603041152097832,2.0836159974757433
BWI,arr,stress_20250415_0519,9523,9497,26.0,1892.0,26062.0,35,272.0857142857143,0.002730232069725927,0.19922080657049596,2.7367426231229652
BWI,dep,cap_20250616_1025,36516,36029,487.0,10103.0,125526.0,132,276.6363636363636,0.013336619564026727,0.28041300063837465,3.437561616825501
BWI,dep,extension_20251026_1231,17178,16933,245.0,4432.0,53197.0,67,256.3880597014925,0.01426242868785656,0.2617374357762948,3.0968098730934916
BWI,dep,interim_20250520_0615,7530,7474,56.0,2103.0,37500.0,27,278.8888888888889,0.007436918990703851,0.28137543484078137,4.9800796812749
BWI,dep,pre_20250101_0414,25358,24883,475.0,5367.0,74550.0,104,243.82692307692307,0.01873176117990378,0.21568942651609532,2.9399006230775298
BWI,dep,stress_20250415_0519,9518,9489,29.0,2378.0,30694.0,35,271.9428571428571,0.003046858583736079,0.25060596480134895,3.224837150661904
CLE,arr,cap_20250616_1025,14975,14704,271.0,3579.0,34326.0,132,113.4469696969697,0.018096828046744576,0.24340315560391731,2.292220367278798
CLE,arr,extension_20251026_1231,7202,7023,179.0,1810.0,18154.0,67,107.49253731343283,0.02485420716467648,0.257724619108643,2.5206886975840046
CLE,arr,interim_20250520_0615,3161,3137,24.0,705.0,6842.0,27,117.07407407407408,0.007592534008225245,0.22473700988205292,2.164504903511547
CLE,arr,pre_20250101_0414,10840,10650,190.0,2161.0,21313.0,104,104.23076923076923,0.017527675276752766,0.20291079812206572,1.9661439114391144
