side,ewr_delta_min_per_op,control_delta_min_per_op,did_min_per_op,ewr_delta_min_per_day,control_delta_min_per_day,did_min_per_day_using_stress_ops
arr,-30.111379583263385,-0.7061033815098368,-29.405276201753548,-9463.337566137567,-61.71851851851898,-8952.646377311023
dep,-3.5591770132629863,0.24798684037500163,-3.807163853637988,-1238.104761904762,31.142739564962312,-1159.879662038339
