period,regime,label,ops_per_day,nas_min_per_day,extra_taxi_min_per_day,nas_fuel_t_per_day,nas_co2_t_per_day,nas_fuel_t_low,nas_fuel_t_high,nas_co2_t_low,nas_co2_t_high,extra_taxi_fuel_t_per_day,extra_taxi_co2_t_per_day,nas_fuel_kg_per_op,nas_co2_kg_per_op
stress_20250415_0519,stress,stress (no formal target),609.1142857142856,15090.257142857143,6087.857142857143,188.62821428571428,596.0651571428572,120.72205714285714,241.44411428571428,381.4817005714286,762.9634011428572,76.09821428571429,240.47035714285715,309.6762277780384,978.5768797786014
interim_20250520_0615,28/28,28/28 construction,552.4444444444443,4388.814814814815,4396.62962962963,54.86018518518518,173.3581851851852,35.11051851851852,70.22103703703704,110.94923851851853,221.89847703703705,54.95787037037037,173.6668703703704,99.30443818718156,313.80202467149377
cap_20250616_1025,34/34,34/34 operating,670.0378787878788,6393.378787878788,5558.742424242424,79.91723484848485,252.53846212121212,51.147030303030306,102.29406060606061,161.62461575757575,323.2492315151515,69.4842803030303,219.57032575757577,119.27271185482503,376.9017694612471
extension_20251026_1231,36/36,36/36 extension,692.6268656716418,6338.4626865671635,6018.626865671642,79.23078358208954,250.36927611940297,50.70770149253731,101.41540298507462,160.2363367164179,320.4726734328358,75.23283582089553,237.7357611940299,114.391727362841,361.4778584665776
