side,threshold,stress_markets,retained_markets,retention_rate,mean_ops_per_day_change,median_ops_per_day_change,largest_market_reduction
arr,weekly,68,67,0.9852941176470589,-0.47478991596638653,-0.0804232804232804,-4.372486772486772
arr,daily,59,55,0.9322033898305084,-0.6039637700654649,-0.22857142857142865,-4.372486772486772
dep,weekly,67,66,0.9850746268656716,-0.48762536523730543,-0.08359788359788345,-4.376719576719576
dep,daily,58,56,0.9655172413793104,-0.6064951651158547,-0.2227513227513227,-4.376719576719576
