IATA_CODE_Reporting_Airline,Reporting_Airline,side,period,days,scheduled_ops,operated_ops,cancelled_ops,delay15_ops,nas_delay_minutes,weather_delay_minutes,ops_per_day,cancel_rate,delay15_rate,nas_delay_per_scheduled_op
UA,UA,dep,stress_20250415_0519,35,6129,5953,176.0,1766.0,34513.0,1272.0,175.11428571428573,0.02871594061021374,0.2966571476566437,5.631098058410834
UA,UA,dep,interim_20250520_0615,27,3847,3841,6.0,613.0,18558.0,1861.0,142.4814814814815,0.0015596568754873928,0.1595938557667274,4.824018715882506
UA,UA,dep,cap_20250616_1025,132,23622,23232,390.0,5604.0,127970.0,40468.0,178.95454545454547,0.01651003302006604,0.2412190082644628,5.417407501481669
UA,UA,dep,extension_20251026_1231,67,13206,12946,260.0,3277.0,84051.0,9336.0,197.1044776119403,0.01968802059669847,0.25312837942221533,6.364606996819627
YX,YX,arr,pre_20250101_0414,104,5674,5516,158.0,793.0,26184.0,5139.0,54.55769230769231,0.02784631653154741,0.14376359680928208,4.614733873810363
YX,YX,arr,stress_20250415_0519,35,1398,1159,239.0,450.0,44552.0,1583.0,39.94285714285714,0.1709585121602289,0.3882657463330457,31.86838340486409
YX,YX,arr,interim_20250520_0615,27,1137,1136,1.0,218.0,12005.0,430.0,42.111111111111114,0.0008795074758135445,0.19190140845070422,10.558487247141601
YX,YX,arr,cap_20250616_1025,132,8583,8152,431.0,2035.0,107190.0,11598.0,65.02272727272727,0.05021554235115927,0.24963199214916584,12.48864033554701
YX,YX,arr,extension_20251026_1231,67,3896,3642,254.0,887.0,33099.0,1191.0,58.149253731343286,0.06519507186858316,0.24354750137287204,8.495636550308008
YX,YX,dep,pre_20250101_0414,104,5672,5522,150.0,593.0,9689.0,740.0,54.53846153846154,0.026445698166431594,0.10738862730894604,1.7082157968970382
YX,YX,dep,stress_20250415_0519,35,1397,1158,239.0,235.0,8854.0,443.0,39.91428571428571,0.17108088761632068,0.20293609671848015,6.337866857551897
YX,YX,dep,interim_20250520_0615,27,1139,1138,1.0,153.0,4339.0,455.0,42.18518518518518,0.000877963125548727,0.1344463971880492,3.809482001755926
YX,YX,dep,cap_20250616_1025,132,8582,8145,437.0,1545.0,29338.0,11269.0,65.01515151515152,0.0509205313446749,0.18968692449355432,3.4185504544395244
YX,YX,dep,extension_20251026_1231,67,3829,3572,257.0,635.0,14042.0,2932.0,57.149253731343286,0.06711935231130843,0.17777155655095184,3.6672760511883
