airport,side,period,days,scheduled_ops,operated_ops,cancelled_ops,delay15_ops,nas_delay_minutes,weather_delay_minutes,ops_per_day,cancel_rate,delay15_rate,nas_delay_per_scheduled_op,weather_delay_per_scheduled_op
ATL,arr,pre_20250101_0414,104,84860,83054,1806.0,16056.0,259991.0,93123.0,815.9615384615385,0.021282111713410323,0.19332000866905868,3.0637638463351404,1.0973721423521094
ATL,arr,stress_20250415_0519,35,30383,30280,103.0,5850.0,79236.0,20361.0,868.0857142857143,0.003390053648421815,0.19319682959048878,2.6079057367606886,0.6701444886943356
ATL,arr,interim_20250520_0615,27,24299,24136,163.0,5404.0,86380.0,28119.0,899.9629629629629,0.0067080949833326475,0.22389791183294663,3.5548788015967734,1.1572081155603111
ATL,arr,cap_20250616_1025,132,118191,116848,1343.0,20243.0,266544.0,84757.0,895.3863636363636,0.011362963339002123,0.17324216075585375,2.2551970962256007,0.7171189007623254
ATL,arr,extension_20251026_1231,67,56706,55369,1337.0,10549.0,179009.0,30092.0,846.3582089552239,0.023577751913377774,0.1905217721107479,3.156791168483053,0.5306669488237576
ATL,dep,pre_20250101_0414,104,84873,83166,1707.0,19213.0,264989.0,137778.0,816.0865384615385,0.020112403237778798,0.23101988793497344,3.1221825551117552,1.6233431126506663
ATL,dep,stress_20250415_0519,35,30376,30285,91.0,7039.0,146366.0,23191.0,867.8857142857142,0.0029957861469581248,0.23242529304936438,4.818475111930471,0.7634645772978668
ATL,dep,interim_20250520_0615,27,24310,24149,161.0,7069.0,100455.0,40430.0,900.3703703703703,0.006622788975730152,0.29272433641144563,4.132250102838338,1.6631016042780749
ATL,dep,cap_20250616_1025,132,118174,116880,1294.0,26783.0,381640.0,127647.0,895.2575757575758,0.010949955150879213,0.2291495550992471,3.2294751806657978,1.0801614568348368
ATL,dep,extension_20251026_1231,67,56700,55417,1283.0,12989.0,183696.0,54361.0,846.2686567164179,0.022627865961199294,0.23438656008084163,3.23978835978836,0.9587477954144621
BOS,arr,pre_20250101_0414,104,38894,38269,625.0,7573.0,127227.0,26541.0,373.9807692307692,0.016069316604103462,0.19788863048420394,3.2711215097444337,0.682393171183216
BOS,arr,stress_20250415_0519,35,14564,14458,106.0,3589.0,92826.0,10640.0,416.1142857142857,0.0072782202691568255,0.24823627057684328,6.373661082120297,0.7305685251304587
BOS,arr,interim_20250520_0615,27,10878,10846,32.0,2931.0,78514.0,8322.0,402.8888888888889,0.0029417172274315132,0.27023787571454916,7.217687074829932,0.7650303364589078
BOS,arr,cap_20250616_1025,132,53558,52544,1014.0,16262.0,539615.0,39624.0,405.74242424242425,0.01893274580828261,0.3094929963459196,10.07533888494716,0.7398334515851973
BOS,arr,extension_20251026_1231,67,24956,24357,599.0,6261.0,137125.0,12824.0,372.4776119402985,0.024002243949350858,0.2570513610050499,5.494670620291713,0.5138644013463696
BOS,dep,pre_20250101_0414,104,38894,38274,620.0,7207.0,198206.0,25540.0,373.9807692307692,0.015940762071270632,0.1883001515389037,5.0960559469326885,0.6566565537100838
BOS,dep,stress_20250415_0519,35,14560,14455,105.0,3089.0,68147.0,5839.0,416.0,0.007211538461538462,0.21369768246281565,4.680425824175824,0.4010302197802198
BOS,dep,interim_20250520_0615,27,10877,10846,31.0,2332.0,43642.0,2235.0,402.85185185185185,0.0028500505654132573,0.2150101419878296,4.012319573411786,0.2054794520547945
BOS,dep,cap_20250616_1025,132,53568,52516,1052.0,13488.0,231051.0,22398.0,405.8181818181818,0.01963859020310633,0.2568360118820931,4.313228046594982,0.41812275985663083
BOS,dep,extension_20251026_1231,67,24960,24373,587.0,5863.0,139266.0,9772.0,372.53731343283584,0.023517628205128205,0.24055307102121198,5.579567307692308,0.39150641025641025
BWI,arr,pre_20250101_0414,104,25354,24859,495.0,3985.0,52828.0,7444.0,243.78846153846155,0.019523546580421235,0.1603041152097832,2.0836159974757433,0.29360258736294076
BWI,arr,stress_20250415_0519,35,9523,9497,26.0,1892.0,26062.0,4402.0,272.0857142857143,0.002730232069725927,0.19922080657049596,2.7367426231229652,0.4622492911897511
BWI,arr,interim_20250520_0615,27,7534,7479,55.0,1655.0,25423.0,7862.0,279.037037037037,0.007300238916910008,0.22128626821767616,3.374435890629148,1.043535970268118
BWI,arr,cap_20250616_1025,132,36516,36023,493.0,7929.0,132990.0,27464.0,276.6363636363636,0.013500931098696461,0.22010937456624935,3.64196516595465,0.7521086646949282
BWI,arr,extension_20251026_1231,67,17181,16923,258.0,3308.0,27841.0,2996.0,256.43283582089555,0.01501658809149642,0.19547361578916267,1.6204528257959374,0.1743786741167569
BWI,dep,pre_20250101_0414,104,25358,24883,475.0,5367.0,74550.0,18924.0,243.82692307692307,0.01873176117990378,0.21568942651609532,2.9399006230775298,0.7462733654073666
BWI,dep,stress_20250415_0519,35,9518,9489,29.0,2378.0,30694.0,5474.0,271.9428571428571,0.003046858583736079,0.25060596480134895,3.224837150661904,0.5751208237024585
BWI,dep,interim_20250520_0615,27,7530,7474,56.0,2103.0,37500.0,9684.0,278.8888888888889,0.007436918990703851,0.28137543484078137,4.9800796812749,1.2860557768924303
BWI,dep,cap_20250616_1025,132,36516,36029,487.0,10103.0,125526.0,57369.0,276.6363636363636,0.013336619564026727,0.28041300063837465,3.437561616825501,1.57106473874466
BWI,dep,extension_20251026_1231,67,17178,16933,245.0,4432.0,53197.0,4929.0,256.3880597014925,0.01426242868785656,0.2617374357762948,3.0968098730934916,0.2869367796018163
DCA,arr,pre_20250101_0414,104,40657,38419,2238.0,11035.0,272127.0,58441.0,390.9326923076923,0.05504587155963303,0.2872276738072308,6.693238556706103,1.437415451213813
DCA,arr,stress_20250415_0519,35,13964,13691,273.0,3696.0,86913.0,15606.0,398.9714285714286,0.019550272128329993,0.2699583668103133,6.224076195932398,1.1175880836436551
DCA,arr,interim_20250520_0615,27,10652,10420,232.0,2770.0,58666.0,18722.0,394.51851851851853,0.021779947427713105,0.2658349328214971,5.507510326699212,1.7576042057829515
DCA,arr,cap_20250616_1025,132,51949,49951,1998.0,13431.0,283794.0,86196.0,393.5530303030303,0.03846079809043485,0.268883505835719,5.462934801439873,1.6592427188203815
DCA,arr,extension_20251026_1231,67,25332,24691,641.0,7753.0,163693.0,19633.0,378.089552238806,0.025303963366492974,0.3140010530152687,6.461905889783673,0.7750276330333176
DCA,dep,pre_20250101_0414,104,40642,38367,2275.0,9684.0,140471.0,37687.0,390.78846153846155,0.05597657595590768,0.252404410039878,3.4563013631218937,0.9272919639781507
DCA,dep,stress_20250415_0519,35,13962,13689,273.0,3219.0,58428.0,9117.0,398.9142857142857,0.019553072625698324,0.235152312075389,4.184787279759346,0.6529866781263429
DCA,dep,interim_20250520_0615,27,10657,10413,244.0,2583.0,52458.0,14137.0,394.7037037037037,0.022895749272778456,0.2480553154710458,4.922398423571361,1.3265459322511026
DCA,dep,cap_20250616_1025,132,51929,49872,2057.0,12640.0,208311.0,81602.0,393.4015151515151,0.03961177761944193,0.25344882900224575,4.011457952203971,1.5714148163839088
DCA,dep,extension_20251026_1231,67,25316,24664,652.0,7058.0,111654.0,15853.0,377.85074626865674,0.025754463580344448,0.2861660720077846,4.410412387422974,0.6262047716858904
EWR,arr,pre_20250101_0414,104,34773,34297,476.0,6713.0,173879.0,30777.0,334.3557692307692,0.013688781525896528,0.19573140507916145,5.00040261122135,0.8850832542489863
EWR,arr,stress_20250415_0519,35,10656,10100,556.0,4736.0,432617.0,18055.0,304.45714285714286,0.052177177177177174,0.4689108910891089,40.598442192192195,1.6943506006006006
EWR,arr,interim_20250520_0615,27,7459,7425,34.0,1904.0,78223.0,5588.0,276.25925925925924,0.00455825177637753,0.25643097643097645,10.487062608928811,0.7491620860705188
