metric,metric_label,side,base_period,compare_period,ewr_delta,control_mean_delta,ewr_minus_control_delta
nas_delay_per_scheduled_op,NAS min/op,arr,stress_20250415_0519,interim_20250520_0615,-30.111379583263385,-0.7061033815098364,-29.405276201753548
nas_delay_per_scheduled_op,NAS min/op,dep,stress_20250415_0519,interim_20250520_0615,-3.5591770132629863,0.24798684037500138,-3.8071638536379875
weather_delay_per_scheduled_op,Weather min/op,arr,stress_20250415_0519,interim_20250520_0615,-0.9451885145300818,0.409264392979636,-1.3544529075097178
weather_delay_per_scheduled_op,Weather min/op,dep,stress_20250415_0519,interim_20250520_0615,0.14727105070100183,0.28076167660398577,-0.13349062590298394
ops_per_day,Ops/day,arr,stress_20250415_0519,cap_20250616_1025,30.542857142857144,12.463492063492067,18.079365079365076
ops_per_day,Ops/day,dep,stress_20250415_0519,cap_20250616_1025,30.380735930735966,12.482323232323239,17.898412698412727
cancel_rate,Cancel. rate,arr,stress_20250415_0519,cap_20250616_1025,-0.025469804947416883,0.012594026931244558,-0.03806383187866144
cancel_rate,Cancel. rate,dep,stress_20250415_0519,cap_20250616_1025,-0.02720709127312542,0.012638073415566452,-0.03984516468869187
delay15_rate,Delay-15+ rate,arr,stress_20250415_0519,cap_20250616_1025,-0.1891878491968716,0.014844919269404276,-0.20403276846627588
delay15_rate,Delay-15+ rate,dep,stress_20250415_0519,cap_20250616_1025,-0.08457314858434775,0.0333935186502951,-0.11796666723464286
nas_delay_per_scheduled_op,NAS min/op,arr,stress_20250415_0519,cap_20250616_1025,-27.12623504610445,0.4998665076567834,-27.626101553761234
nas_delay_per_scheduled_op,NAS min/op,dep,stress_20250415_0519,cap_20250616_1025,-3.348271435377703,-0.37755499955245875,-2.9707164358252447
weather_delay_per_scheduled_op,Weather min/op,arr,stress_20250415_0519,cap_20250616_1025,-0.29656679236903116,0.3384899977250345,-0.6350567900940657
weather_delay_per_scheduled_op,Weather min/op,dep,stress_20250415_0519,cap_20250616_1025,1.3420882202988764,0.4822348007675788,0.8598534195312977
ops_per_day,Ops/day,arr,stress_20250415_0519,extension_20251026_1231,42.348827292110855,-13.082113243307269,55.430940535418124
ops_per_day,Ops/day,dep,stress_20250415_0519,extension_20251026_1231,41.16375266524523,-13.001658374792688,54.16541104003792
cancel_rate,Cancel. rate,arr,stress_20250415_0519,extension_20251026_1231,-0.017059256708938236,0.017558709120324107,-0.03461796582926234
cancel_rate,Cancel. rate,dep,stress_20250415_0519,extension_20251026_1231,-0.01802958864002034,0.017427993519315683,-0.035457582159336025
delay15_rate,Delay-15+ rate,arr,stress_20250415_0519,extension_20251026_1231,-0.183719098047182,0.022051827065005955,-0.20577092511218797
delay15_rate,Delay-15+ rate,dep,stress_20250415_0519,extension_20251026_1231,-0.06816798143347813,0.04129050510146412,-0.10945848653494225
nas_delay_per_scheduled_op,NAS min/op,arr,stress_20250415_0519,extension_20251026_1231,-28.83918930873549,0.22361415089359593,-29.062803459629087
nas_delay_per_scheduled_op,NAS min/op,dep,stress_20250415_0519,extension_20251026_1231,-2.424147728112138,0.5252638831421925,-2.9494116112543307
weather_delay_per_scheduled_op,Weather min/op,arr,stress_20250415_0519,extension_20251026_1231,-1.1792016937319485,-0.04174467735157583,-1.1374570163803726
weather_delay_per_scheduled_op,Weather min/op,dep,stress_20250415_0519,extension_20251026_1231,0.6597973639865118,0.18125836063393144,0.47853900335258037
