airport,side,period,hour_group,hours,avg_ops_per_hour,p90_ops_per_hour,p95_ops_per_hour,max_ops_per_hour,share_above_28,share_above_34,scheduled_ops,operated_ops,cancelled_ops,delay15_ops,nas_delay_minutes,cancel_rate,delay15_rate,nas_delay_per_scheduled_op
AUS,arr,stress,Facilitated hours,595,13.035294117647059,19.0,20.0,24,0.0,0.0,7756,7684.0,72.0,1788.0,34204.0,0.009283135636926251,0.23269130661114004,4.410005157297576
AUS,arr,stress,Other hours,245,3.6448979591836737,19.0,20.0,23,0.0,0.0,893,888.0,5.0,231.0,1882.0,0.005599104143337066,0.26013513513513514,2.107502799552072
AUS,dep,early_interim,Facilitated hours,238,13.823529411764707,19.0,20.0,23,0.0,0.0,3290,3269.0,21.0,1036.0,12885.0,0.006382978723404255,0.3169164882226981,3.9164133738601823
AUS,dep,early_interim,Other hours,98,1.5816326530612246,9.0,13.0,13,0.0,0.0,155,154.0,1.0,29.0,542.0,0.0064516129032258064,0.18831168831168832,3.496774193548387
AUS,dep,late_interim,Facilitated hours,221,14.117647058823529,19.0,21.0,23,0.0,0.0,3120,3101.0,19.0,973.0,14201.0,0.00608974358974359,0.31376975169300225,4.551602564102564
AUS,dep,late_interim,Other hours,91,1.967032967032967,12.0,15.0,16,0.0,0.0,179,178.0,1.0,5.0,207.0,0.00558659217877095,0.028089887640449437,1.1564245810055866
AUS,dep,reference,Facilitated hours,476,13.623949579831933,19.0,20.0,23,0.0,0.0,6485,6428.0,57.0,1254.0,15352.0,0.008789514263685428,0.19508400746733043,2.367309175019275
AUS,dep,reference,Other hours,196,1.4183673469387754,9.0,11.0,12,0.0,0.0,278,276.0,2.0,14.0,299.0,0.007194244604316547,0.050724637681159424,1.0755395683453237
AUS,dep,stress,Facilitated hours,595,13.860504201680673,19.0,20.0,22,0.0,0.0,8247,8162.0,85.0,2100.0,32607.0,0.010306778222383897,0.25728987993138935,3.9538013823208438
AUS,dep,stress,Other hours,245,1.620408163265306,10.0,12.0,14,0.0,0.0,397,397.0,0.0,20.0,421.0,0.0,0.05037783375314862,1.0604534005037782
BNA,arr,early_interim,Facilitated hours,238,16.886554621848738,22.30000000000001,26.149999999999977,30,0.004201680672268907,0.0,4019,3982.0,37.0,815.0,11701.0,0.00920627021647176,0.20467101958814665,2.911420751430704
