side,hour_group,metric,metric_label,unit,phase,coef,ci_low,ci_high
dep,Facilitated hours,p95_ops_per_hour,P95 scheduled ops/hour,ops,Stress,-2.0504956268222028,-2.8586815899227638,-1.2423096637216415
dep,Facilitated hours,p95_ops_per_hour,P95 scheduled ops/hour,ops,May 20--Jun 2,-4.84489795918365,-5.709052255243951,-3.9807436631233495
dep,Facilitated hours,p95_ops_per_hour,P95 scheduled ops/hour,ops,Jun 3--Jun 15,-5.516707782013866,-6.202597177389815,-4.830818386637918
dep,Facilitated hours,share_above_28,Share above 28/hour,pp,Stress,-0.05578802949751434,-0.07481073514812614,-0.03676532384690254
dep,Facilitated hours,share_above_28,Share above 28/hour,pp,May 20--Jun 2,-0.0793174412622198,-0.09873779438463828,-0.05989708813980133
dep,Facilitated hours,share_above_28,Share above 28/hour,pp,Jun 3--Jun 15,-0.0836444467897049,-0.10293928921913556,-0.06434960436027423
dep,Facilitated hours,share_above_34,Share above 34/hour,pp,Stress,4.287429257283751e-05,-0.005397928039399983,0.005483676624545658
dep,Facilitated hours,share_above_34,Share above 34/hour,pp,May 20--Jun 2,0.005359286571770779,-0.0003615883234298336,0.01108016146697139
dep,Facilitated hours,share_above_34,Share above 34/hour,pp,Jun 3--Jun 15,-0.0011707979895256432,-0.007980238228288467,0.0056386422492371805
dep,Facilitated hours,delay15_rate,Delay-15-plus rate,pp,Stress,0.13857171198635485,0.0909424320109626,0.1862009919617471
dep,Facilitated hours,delay15_rate,Delay-15-plus rate,pp,May 20--Jun 2,0.004286849853507358,-0.06436626855450497,0.07293996826151969
dep,Facilitated hours,delay15_rate,Delay-15-plus rate,pp,Jun 3--Jun 15,-0.08994761557896187,-0.13063775542913172,-0.049257475728792015
dep,Facilitated hours,nas_delay_per_scheduled_op,NAS delay,min/op,Stress,4.539980893098901,2.428262811820477,6.651698974377325
dep,Facilitated hours,nas_delay_per_scheduled_op,NAS delay,min/op,May 20--Jun 2,1.2119110886247473,-1.287398872876496,3.7112210501259906
dep,Facilitated hours,nas_delay_per_scheduled_op,NAS delay,min/op,Jun 3--Jun 15,0.638567255554761,-3.1468887696707313,4.424023280780253
dep,Other hours,avg_ops_per_hour,Scheduled ops/hour,ops,Stress,0.39250312369846413,0.20113725672483332,0.583868990672095
dep,Other hours,avg_ops_per_hour,Scheduled ops/hour,ops,May 20--Jun 2,-0.08829654310703595,-0.31152843726301765,0.13493535104894572
dep,Other hours,avg_ops_per_hour,Scheduled ops/hour,ops,Jun 3--Jun 15,-0.1900490180373516,-0.37569454574730843,-0.004403490327394788
dep,Other hours,p95_ops_per_hour,P95 scheduled ops/hour,ops,Stress,1.6810058309037754,0.7877460419295914,2.574265619877959
dep,Other hours,p95_ops_per_hour,P95 scheduled ops/hour,ops,May 20--Jun 2,-0.7452623906705407,-1.687774758243668,0.1972499769025865
dep,Other hours,p95_ops_per_hour,P95 scheduled ops/hour,ops,Jun 3--Jun 15,-1.0525398071316248,-1.870265336209676,-0.23481427805357358
dep,Other hours,share_above_28,Share above 28/hour,pp,Stress,-1.0006023656888246e-17,,
dep,Other hours,share_above_28,Share above 28/hour,pp,May 20--Jun 2,-5.110250469763726e-18,,
dep,Other hours,share_above_28,Share above 28/hour,pp,Jun 3--Jun 15,-0.0011213276519398986,-0.0019091305127115956,-0.00033352479116820156
dep,Other hours,share_above_34,Share above 34/hour,pp,Stress,0.0,0.0,0.0
dep,Other hours,share_above_34,Share above 34/hour,pp,May 20--Jun 2,0.0,0.0,0.0
dep,Other hours,share_above_34,Share above 34/hour,pp,Jun 3--Jun 15,0.0,0.0,0.0
dep,Other hours,delay15_rate,Delay-15-plus rate,pp,Stress,0.06180484392539143,0.016495612365649094,0.10711407548513377
dep,Other hours,delay15_rate,Delay-15-plus rate,pp,May 20--Jun 2,0.011704986465394333,-0.050498824669965615,0.07390879760075428
dep,Other hours,delay15_rate,Delay-15-plus rate,pp,Jun 3--Jun 15,-0.015682916182797664,-0.07207071834477083,0.0407048859791755
dep,Other hours,nas_delay_per_scheduled_op,NAS delay,min/op,Stress,1.4705295625395791,-0.9953497972803873,3.9364089223595453
dep,Other hours,nas_delay_per_scheduled_op,NAS delay,min/op,May 20--Jun 2,-1.3256232761793618,-2.702132518414901,0.050885966056177345
dep,Other hours,nas_delay_per_scheduled_op,NAS delay,min/op,Jun 3--Jun 15,-0.4645124691350324,-1.9216310033650157,0.9926060650949509
