side,metric,metric_label,unit,phase,weather_controls,coef,ci_low,ci_high
arr,cancel_rate,Cancellation rate,pp,Stress,False,0.04521606658507975,0.024268410271870298,0.0661637228982892
arr,cancel_rate,Cancellation rate,pp,May 20--Jun 2,False,0.00427690536907275,-0.000638730548982001,0.0091925412871275
arr,cancel_rate,Cancellation rate,pp,Jun 3--Jun 15,False,-0.002937497862558739,-0.010310014808933747,0.00443501908381627
arr,cancel_rate,Cancellation rate,pp,Stress,True,0.04496691175178794,0.02416661022842601,0.06576721327514988
arr,cancel_rate,Cancellation rate,pp,May 20--Jun 2,True,0.005391909800210961,0.0006048588724941358,0.010178960727927787
arr,cancel_rate,Cancellation rate,pp,Jun 3--Jun 15,True,-0.002649902282845161,-0.010864056588336205,0.005564252022645882
arr,delay15_rate,Delay-15-plus rate,pp,Stress,False,0.24805897811081262,0.18301872040685585,0.3130992358147694
arr,delay15_rate,Delay-15-plus rate,pp,May 20--Jun 2,False,0.1321181116086716,0.021504487093694902,0.2427317361236483
arr,delay15_rate,Delay-15-plus rate,pp,Jun 3--Jun 15,False,-0.08049190680468651,-0.1331292575807469,-0.02785455602862614
arr,delay15_rate,Delay-15-plus rate,pp,Stress,True,0.254623670673086,0.1907370943756423,0.3185102469705297
arr,delay15_rate,Delay-15-plus rate,pp,May 20--Jun 2,True,0.1451400844804873,0.04700665615079867,0.2432735128101759
arr,delay15_rate,Delay-15-plus rate,pp,Jun 3--Jun 15,True,-0.07065447750781495,-0.12478319097262301,-0.016525764043006888
arr,nas_delay_per_scheduled_op,NAS delay,min/op,Stress,False,33.35272606408692,23.996854895534412,42.708597232639434
arr,nas_delay_per_scheduled_op,NAS delay,min/op,May 20--Jun 2,False,12.487763854624976,0.7426039151772645,24.23292379407269
arr,nas_delay_per_scheduled_op,NAS delay,min/op,Jun 3--Jun 15,False,-4.039238501872247,-7.353141276958483,-0.7253357267860112
arr,nas_delay_per_scheduled_op,NAS delay,min/op,Stress,True,33.82993871234001,24.808560577781236,42.85131684689878
arr,nas_delay_per_scheduled_op,NAS delay,min/op,May 20--Jun 2,True,13.414313121293759,2.6246138088527733,24.204012433734746
arr,nas_delay_per_scheduled_op,NAS delay,min/op,Jun 3--Jun 15,True,-3.677552784771982,-7.18833766588492,-0.1667679036590437
dep,cancel_rate,Cancellation rate,pp,Stress,False,0.04684308947968129,0.025620509906701627,0.06806566905266095
dep,cancel_rate,Cancellation rate,pp,May 20--Jun 2,False,0.0035723265940784178,-0.000950471977482228,0.008095125165639063
dep,cancel_rate,Cancellation rate,pp,Jun 3--Jun 15,False,-0.0028877522106533606,-0.009832267273482765,0.0040567628521760435
dep,cancel_rate,Cancellation rate,pp,Stress,True,0.04642294242307164,0.02533663886928536,0.06750924597685792
dep,cancel_rate,Cancellation rate,pp,May 20--Jun 2,True,0.004904112224016017,0.000561448281225372,0.009246776166806662
dep,cancel_rate,Cancellation rate,pp,Jun 3--Jun 15,True,-0.002113833216409831,-0.010519518005985478,0.006291851573165815
dep,delay15_rate,Delay-15-plus rate,pp,Stress,False,0.1322607183225974,0.08508874612126108,0.1794326905239337
dep,delay15_rate,Delay-15-plus rate,pp,May 20--Jun 2,False,0.0267659371417959,-0.041338750816414804,0.0948706251000066
dep,delay15_rate,Delay-15-plus rate,pp,Jun 3--Jun 15,False,-0.0771673097541532,-0.12165878122542952,-0.03267583828287689
dep,delay15_rate,Delay-15-plus rate,pp,Stress,True,0.13475188592096013,0.0891754962507944,0.18032827559112585
dep,delay15_rate,Delay-15-plus rate,pp,May 20--Jun 2,True,0.03500404909494991,-0.02278487261298441,0.09279297080288423
dep,delay15_rate,Delay-15-plus rate,pp,Jun 3--Jun 15,True,-0.07061414278326004,-0.1153131703338017,-0.025915115232718396
dep,nas_delay_per_scheduled_op,NAS delay,min/op,Stress,False,4.408898679990802,2.355428880322829,6.462368479658775
dep,nas_delay_per_scheduled_op,NAS delay,min/op,May 20--Jun 2,False,1.8383643413899637,-0.5010172179031036,4.177745900683031
dep,nas_delay_per_scheduled_op,NAS delay,min/op,Jun 3--Jun 15,False,-0.430738179709839,-3.909206192490338,3.0477298330706604
dep,nas_delay_per_scheduled_op,NAS delay,min/op,Stress,True,4.628748929411329,2.55927048396708,6.698227374855579
dep,nas_delay_per_scheduled_op,NAS delay,min/op,May 20--Jun 2,True,2.201171033739894,0.13663388627507977,4.265708181204708
dep,nas_delay_per_scheduled_op,NAS delay,min/op,Jun 3--Jun 15,True,-0.11016742712384116,-3.5118215703389897,3.291486716091307
