layer,side,april_markets,june_markets,passenger_weighted_market_retention,seat_retention_existing_april_markets,passenger_retention_existing_april_markets
Domestic,arr,91,101,0.9962723073303033,0.9251046011586093,0.958458208973708
Domestic,dep,86,94,0.9972544503115276,0.9252506884021627,0.941967983656968
International,arr,87,94,0.9906887380388695,1.0071505028787653,0.9396613886615316
International,dep,87,96,0.9907842466026064,1.0008531710829793,1.0553613935085302
