side,metric,metric_label,unit,scale,late_minus_stress,ci_low,ci_high,scaled_late_minus_stress,scaled_ci_low,scaled_ci_high,nobs
arr,p90_delay_minutes,P90 delay,min,1.0,-142.36308589369793,-175.29681758250723,-109.42935420488864,-142.36308589369793,-175.29681758250723,-109.42935420488864,4500
arr,p95_delay_minutes,P95 delay,min,1.0,-159.64876878223802,-197.91468012413654,-121.3828574403395,-159.64876878223802,-197.91468012413654,-121.3828574403395,4500
arr,delay60_rate,Delay-60-plus rate,pp,100.0,-0.27050770702271065,-0.333054688729316,-0.2079607253161053,-27.050770702271066,-33.3054688729316,-20.79607253161053,4500
arr,cancel_or_delay60_rate,Cancellation-or-60-plus rate,pp,100.0,-0.29484704515764637,-0.363044770384788,-0.22664931993050472,-29.484704515764637,-36.3044770384788,-22.664931993050473,4500
dep,p90_delay_minutes,P90 delay,min,1.0,-93.44158779995507,-119.72385068659084,-67.15932491331931,-93.44158779995507,-119.72385068659084,-67.15932491331931,4500
dep,p95_delay_minutes,P95 delay,min,1.0,-113.15797039694992,-145.44315539146208,-80.87278540243776,-113.15797039694992,-145.44315539146208,-80.87278540243776,4500
dep,delay60_rate,Delay-60-plus rate,pp,100.0,-0.14331087435060927,-0.18543130044427833,-0.10119044825694021,-14.331087435060926,-18.543130044427834,-10.11904482569402,4500
dep,cancel_or_delay60_rate,Cancellation-or-60-plus rate,pp,100.0,-0.1778234193054919,-0.2289443053105526,-0.12670253330043119,-17.78234193054919,-22.89443053105526,-12.670253330043119,4500
