side,metric,metric_label,unit,scale,observed_change,ridge_change,recovery_gap,scaled_recovery_gap,alpha,donor_count
arr,scheduled_ops,Scheduled operations,ops/day,1.0,-28.197883597883617,-23.295993812713334,-4.901889785170283,-4.901889785170283,10.0,49
arr,cancel_rate,Cancellation rate,pp,100.0,-0.04615967883353992,-0.03658620482520038,-0.009573474008339543,-0.9573474008339543,10.0,49
arr,delay15_rate,Delay-15-plus rate,pp,100.0,-0.21706055974756433,0.00044044777483548403,-0.21750100752239981,-21.75010075223998,10.0,49
arr,nas_delay_per_scheduled_op,NAS delay,min/op,1.0,-29.577580288831776,-4.73283758270469,-24.844742706127086,-24.844742706127086,10.0,49
dep,scheduled_ops,Scheduled operations,ops/day,1.0,-28.471957671957682,-21.0073977077775,-7.464559964180182,-7.464559964180182,10.0,49
dep,cancel_rate,Cancellation rate,pp,100.0,-0.048046438126955256,-0.03354631963369746,-0.014500118493257795,-1.4500118493257794,10.0,49
dep,delay15_rate,Delay-15-plus rate,pp,100.0,-0.14279113378235792,0.00033353273893554913,-0.14312466652129346,-14.312466652129347,10.0,49
dep,nas_delay_per_scheduled_op,NAS delay,min/op,1.0,-3.4802568484560172,-1.8703144531906615,-1.6099423952653558,-1.6099423952653558,10.0,49
