side,nas_min_day_reduction,passengers_per_flight,passenger_min_day_reduction,ci_low,ci_high,bootstrap_reps
arr,9463.337566137567,122.77461902085881,1161857.664348321,755661.9103170754,1581407.8507948876,2000
dep,1238.104761904762,120.46347054393031,149146.39651601415,44773.005465271264,256186.64484528438,2000
