stress_start,side,metric,metric_label,unit,stress_coef,stress_se,stress_ci_low,stress_ci_high,late_coef,late_se,late_ci_low,late_ci_high,late_minus_stress,late_minus_stress_se,late_minus_stress_ci_low,late_minus_stress_ci_high
2025-04-15,arr,delay15_rate,Delay-15-plus rate,pp,0.2620192739034544,0.033877722886610465,0.1956189370456979,0.32841961076121096,-0.09716950704090455,0.023918165933612918,-0.14404911227078587,-0.050289901811023226,-0.35918878094435897,0.034771904890791454,-0.4273417145303102,-0.2910358473584077
2025-04-15,arr,nas_delay_per_scheduled_op,NAS delay,min/op,34.39185536531638,4.803694984621397,24.97661319545844,43.80709753517432,-3.654762874625086,1.5207946329246083,-6.635520355157318,-0.6740053940928536,-38.046618239941466,4.803595387471534,-47.46166519938567,-28.631571280497262
2025-04-15,dep,delay15_rate,Delay-15-plus rate,pp,0.13434233836844814,0.023443883509122767,0.08839232669056751,0.18029235004632876,-0.08739787713399014,0.020471268958808086,-0.12752156429325398,-0.04727418997472629,-0.22174021550243828,0.028315796950634426,-0.2772391775256817,-0.1662412534791948
2025-04-15,dep,nas_delay_per_scheduled_op,NAS delay,min/op,4.414195628322274,1.0354566551248436,2.38470058427758,6.443690672366968,0.611727003492523,1.8762318038586687,-3.0656873320704676,4.289141339055513,-3.802468624829751,2.084755879591764,-7.888590148829608,0.2836528991701064
2025-04-22,arr,delay15_rate,Delay-15-plus rate,pp,0.2735167933898047,0.03693948878691138,0.20111539536745843,0.345918191412151,-0.09716950704090561,0.023941331610273675,-0.144094516997042,-0.05024449708476921,-0.3706863004307103,0.037762813179303294,-0.44470141426214477,-0.2966711865992759
2025-04-22,arr,nas_delay_per_scheduled_op,NAS delay,min/op,36.83001523766006,5.439257340681588,26.169070849924143,47.49095962539597,-3.6547628746251752,1.522267581846848,-6.638407335044997,-0.671118414205353,-40.484778112285234,5.439169210919255,-51.14554976568697,-29.824006458883495
2025-04-22,dep,delay15_rate,Delay-15-plus rate,pp,0.13721244076539446,0.026845410258258692,0.08459543665920743,0.1898294448715815,-0.08739787713399072,0.020491096181298622,-0.127560425649336,-0.04723532861864542,-0.22461031789938518,0.031198292290715204,-0.285758970789187,-0.16346166500958337
2025-04-22,dep,nas_delay_per_scheduled_op,NAS delay,min/op,4.843781024765484,1.2013647002192755,2.4891062123357037,7.198455837195263,0.611727003492491,1.8780490075451424,-3.069249051295988,4.29270305828097,-4.232054021272993,2.1733980011370213,-8.491914103501554,0.02780606095556859
2025-05-01,arr,delay15_rate,Delay-15-plus rate,pp,0.29864131751262124,0.04634130787826037,0.20781235407123091,0.3894702809540116,-0.09716950704090344,0.02397764692554676,-0.1441656950149751,-0.05017331906683179,-0.3958108245535247,0.04700221026343775,-0.48793515666986265,-0.3036864924371867
2025-05-01,arr,nas_delay_per_scheduled_op,NAS delay,min/op,40.28376488540401,6.850644626364585,26.856501417729426,53.711028353078596,-3.6547628746250758,1.5245766274782506,-6.642933064482447,-0.6665926847677044,-43.93852776002909,6.85057444109219,-57.365653664569784,-30.511401855488394
2025-05-01,dep,delay15_rate,Delay-15-plus rate,pp,0.14314917686481654,0.033564524823074766,0.07736270821159,0.20893564551804308,-0.0873978771339886,0.020522178020447215,-0.12762134605406514,-0.047174408213912056,-0.23054705399880515,0.03714837523485864,-0.30335786945912807,-0.15773623853848223
2025-05-01,dep,nas_delay_per_scheduled_op,NAS delay,min/op,4.162851687580942,1.3502814786145323,1.516299989496459,6.8094033856654255,0.6117270034925344,1.8808977188414562,-3.0748325254367197,4.2982865324217885,-3.551124684088408,2.261327268637345,-7.983326130617604,0.881076762440788
2025-05-07,arr,delay15_rate,Delay-15-plus rate,pp,0.24554295410387122,0.05620664264321122,0.13537793452317723,0.3557079736845652,-0.09716950704090478,0.02400727984456995,-0.1442237755362619,-0.050115238545547676,-0.342712461144776,0.056754120621300884,-0.45395053756252574,-0.23147438472702625
2025-05-07,arr,nas_delay_per_scheduled_op,NAS delay,min/op,31.29993997296955,8.170463374318219,15.285831759305843,47.31404818663326,-3.6547628746250673,1.5264607846637772,-6.64662601256607,-0.6628997366840639,-34.95470284759462,8.170404380993377,-50.96869543434164,-18.9407102608476
