side,metric,metric_label,unit,phase,coef,se,ci_low,ci_high,weather_control
arr,scheduled_ops,Scheduled ops/day,ops,Stress,-45.1428571428573,5.855090806109064,-56.618835122831065,-33.66687916288354,True
arr,scheduled_ops,Scheduled ops/day,ops,May 20--Jun 2,-74.12698412698528,7.610629002419248,-89.04381697172701,-59.21015128224355,True
arr,scheduled_ops,Scheduled ops/day,ops,Jun 3--Jun 15,-91.54212454212536,7.188688717275458,-105.63195442798526,-77.45229465626547,True
arr,cancel_rate,Cancellation rate,pp,Stress,0.03775459439758432,0.010121631706608859,0.01791619625263096,0.057592992542537684,True
arr,cancel_rate,Cancellation rate,pp,May 20--Jun 2,0.005799610813862721,0.003336343350509166,-0.0007396221531352437,0.012338843780860687,True
arr,cancel_rate,Cancellation rate,pp,Jun 3--Jun 15,0.0015220043325508284,0.004237467794435947,-0.006783432544543627,0.009827441209645283,True
arr,delay15_rate,Delay-15-plus rate,pp,Stress,0.21949055416989022,0.03098047122515075,0.15876883056859475,0.2802122777711857,True
arr,delay15_rate,Delay-15-plus rate,pp,May 20--Jun 2,0.13794823381388607,0.05612358235218549,0.02794601240360252,0.24795045522416964,True
arr,delay15_rate,Delay-15-plus rate,pp,Jun 3--Jun 15,-0.0647325593616415,0.024612562663162325,-0.11297318218143966,-0.016491936541843347,True
arr,nas_delay_per_scheduled_op,NAS delay,min/op,Stress,30.462422867448495,4.265250472106507,22.102531942119743,38.82231379277725,True
arr,nas_delay_per_scheduled_op,NAS delay,min/op,May 20--Jun 2,13.077604613127196,5.896693556045448,1.5200852432781193,24.635123982976275,True
arr,nas_delay_per_scheduled_op,NAS delay,min/op,Jun 3--Jun 15,-2.0623864203974596,1.4272988521385206,-4.85989217058896,0.7351193297940406,True
dep,scheduled_ops,Scheduled ops/day,ops,Stress,-44.96587301587322,5.876529687178966,-56.483871202744,-33.447874829002444,True
dep,scheduled_ops,Scheduled ops/day,ops,May 20--Jun 2,-73.83730158730263,7.74476611786167,-89.01704317831151,-58.657559996293756,True
dep,scheduled_ops,Scheduled ops/day,ops,Jun 3--Jun 15,-92.16147741147822,7.696845678756022,-107.24729494184002,-77.07565988111641,True
dep,cancel_rate,Cancellation rate,pp,Stress,0.047461224225833605,0.010982682409582601,0.025935166703051706,0.0689872817486155,True
dep,cancel_rate,Cancellation rate,pp,May 20--Jun 2,0.004404418288644436,0.002015692845463343,0.0004536603115362836,0.008355176265752589,True
dep,cancel_rate,Cancellation rate,pp,Jun 3--Jun 15,-0.0023104426355024235,0.0030294725809390955,-0.008248208894143051,0.0036273236231382034,True
dep,delay15_rate,Delay-15-plus rate,pp,Stress,0.1351969563450135,0.023920235940184466,0.08831329390225194,0.18208061878777504,True
dep,delay15_rate,Delay-15-plus rate,pp,May 20--Jun 2,0.03071850458268053,0.03313946991947508,-0.03423485645949063,0.09567186562485169,True
dep,delay15_rate,Delay-15-plus rate,pp,Jun 3--Jun 15,-0.07868264793789291,0.021997319236462646,-0.12179739364135969,-0.03556790223442612,True
dep,nas_delay_per_scheduled_op,NAS delay,min/op,Stress,4.51725761688626,1.0269493186903789,2.504436952253118,6.530078281519403,True
dep,nas_delay_per_scheduled_op,NAS delay,min/op,May 20--Jun 2,1.9842299022307783,1.1556206276373693,-0.2807865279384656,4.2492463324000225,True
dep,nas_delay_per_scheduled_op,NAS delay,min/op,Jun 3--Jun 15,-0.44336611959440075,1.5169746475207824,-3.416636428735134,2.5299041895463326,True
