side,stress_nas_minutes_per_day,interim_nas_minutes_per_day,observed_nas_minutes_per_day_reduction,apr_jun_passengers_per_departure,passenger_minutes_per_day_reduction,synthetic_post_gap_nas_min_per_op
arr,12360.485714285714,2897.1481481481483,9463.337566137567,122.77461902085881,1161857.664348321,6.283025521192093
dep,2729.7714285714287,1491.6666666666667,1238.104761904762,120.46347054393031,149146.39651601415,-0.09180095939191844
