carrier_group,side,stress_ops_per_day,interim_ops_per_day,delta_ops_per_day,stress_cancel_rate,interim_cancel_rate,delta_cancel_rate,stress_delay15_rate,interim_delay15_rate,delta_delay15_rate,stress_nas_delay_per_scheduled_op,interim_nas_delay_per_scheduled_op,delta_nas_delay_per_scheduled_op,stress_counterpart_airports,interim_counterpart_airports,delta_counterpart_airports
Other carriers,arr,129.62857142857143,133.66666666666666,4.038095238095224,0.08331496583645581,0.004987531172069825,-0.07832743466438599,0.5042077422457322,0.2759676970203286,-0.2282400452254036,41.750716332378225,11.207259628706012,-30.543456703672213,60.0,65.0,5.0
Other carriers,dep,129.54285714285714,133.7037037037037,4.160846560846551,0.08711954124393471,0.006648199445983379,-0.08047134179795133,0.3447692679391157,0.19687674288901283,-0.1478925250501029,13.46029995588884,6.015789473684211,-7.444510482204628,59.0,65.0,6.0
United,arr,174.82857142857142,142.59259259259258,-32.23597883597884,0.029089720542572316,0.004155844155844156,-0.02493387638672816,0.4442013129102845,0.238132498695879,-0.20606881421440548,39.74407582938389,9.811948051948052,-29.932127777435838,51.0,53.0,2.0
United,dep,175.11428571428573,142.4814814814815,-32.63280423280423,0.02871594061021374,0.0015596568754873928,-0.027156283734726346,0.2966571476566437,0.1595938557667274,-0.13706329188991628,5.631098058410834,4.824018715882506,-0.8070793425283282,50.0,53.0,3.0
