side,counterpart,period,scheduled_ops,operated_ops,cancelled_ops,delay15_ops,nas_delay_minutes,days,ops_per_day,cancelled_ops_per_day,delay15_ops_per_day,nas_delay_minutes_per_day,cancel_rate,delay15_rate,nas_delay_per_scheduled_op
arr,ALB,pre_20250101_0414,44,42,2.0,7.0,190.0,104,0.4230769230769231,0.019230769230769232,0.0673076923076923,1.8269230769230769,0.045454545454545456,0.16666666666666666,4.318181818181818
arr,ANC,cap_20250616_1025,78,76,2.0,19.0,64.0,132,0.5909090909090909,0.015151515151515152,0.14393939393939395,0.48484848484848486,0.02564102564102564,0.25,0.8205128205128205
arr,ANC,interim_20250520_0615,25,24,1.0,4.0,10.0,27,0.9259259259259259,0.037037037037037035,0.14814814814814814,0.37037037037037035,0.04,0.16666666666666666,0.4
arr,ATL,cap_20250616_1025,2286,2224,62.0,664.0,31234.0,132,17.318181818181817,0.4696969696969697,5.03030303030303,236.62121212121212,0.02712160979877515,0.29856115107913667,13.663167104111986
arr,ATL,extension_20251026_1231,1140,1092,48.0,401.0,12157.0,67,17.01492537313433,0.7164179104477612,5.985074626865671,181.44776119402985,0.042105263157894736,0.36721611721611724,10.664035087719299
arr,ATL,interim_20250520_0615,406,401,5.0,155.0,5282.0,27,15.037037037037036,0.18518518518518517,5.7407407407407405,195.62962962962962,0.012315270935960592,0.3865336658354115,13.009852216748769
arr,ATL,pre_20250101_0414,1727,1691,36.0,505.0,12845.0,104,16.60576923076923,0.34615384615384615,4.855769230769231,123.50961538461539,0.020845396641574986,0.29863985807214666,7.437753329473074
arr,ATL,stress_20250415_0519,546,527,19.0,348.0,33016.0,35,15.6,0.5428571428571428,9.942857142857143,943.3142857142857,0.0347985347985348,0.6603415559772297,60.46886446886447
arr,ATW,cap_20250616_1025,18,18,0.0,3.0,82.0,132,0.13636363636363635,0.0,0.022727272727272728,0.6212121212121212,0.0,0.16666666666666666,4.555555555555555
arr,ATW,interim_20250520_0615,8,8,0.0,3.0,177.0,27,0.2962962962962963,0.0,0.1111111111111111,6.555555555555555,0.0,0.375,22.125
arr,AUS,cap_20250616_1025,706,700,6.0,204.0,12848.0,132,5.348484848484849,0.045454545454545456,1.5454545454545454,97.33333333333333,0.0084985835694051,0.2914285714285714,18.19830028328612
arr,AUS,extension_20251026_1231,461,447,14.0,155.0,8303.0,67,6.880597014925373,0.208955223880597,2.3134328358208953,123.92537313432835,0.03036876355748373,0.34675615212527966,18.010845986984815
arr,AUS,interim_20250520_0615,107,107,0.0,27.0,1582.0,27,3.962962962962963,0.0,1.0,58.592592592592595,0.0,0.2523364485981308,14.785046728971963
arr,AUS,pre_20250101_0414,508,504,4.0,72.0,2806.0,104,4.884615384615385,0.038461538461538464,0.6923076923076923,26.98076923076923,0.007874015748031496,0.14285714285714285,5.5236220472440944
arr,AUS,stress_20250415_0519,166,161,5.0,83.0,9139.0,35,4.742857142857143,0.14285714285714285,2.3714285714285714,261.1142857142857,0.030120481927710843,0.515527950310559,55.05421686746988
arr,AVL,cap_20250616_1025,53,53,0.0,9.0,222.0,132,0.4015151515151515,0.0,0.06818181818181818,1.6818181818181819,0.0,0.16981132075471697,4.188679245283019
arr,AVL,extension_20251026_1231,43,42,1.0,11.0,1453.0,67,0.6417910447761194,0.014925373134328358,0.16417910447761194,21.686567164179106,0.023255813953488372,0.2619047619047619,33.7906976744186
arr,AVL,interim_20250520_0615,37,37,0.0,8.0,411.0,27,1.3703703703703705,0.0,0.2962962962962963,15.222222222222221,0.0,0.21621621621621623,11.108108108108109
arr,AVL,pre_20250101_0414,114,114,0.0,10.0,370.0,104,1.0961538461538463,0.0,0.09615384615384616,3.5576923076923075,0.0,0.08771929824561403,3.245614035087719
arr,AVL,stress_20250415_0519,13,13,0.0,5.0,581.0,35,0.37142857142857144,0.0,0.14285714285714285,16.6,0.0,0.38461538461538464,44.69230769230769
arr,BGR,cap_20250616_1025,331,311,20.0,108.0,5347.0,132,2.507575757575758,0.15151515151515152,0.8181818181818182,40.50757575757576,0.06042296072507553,0.34726688102893893,16.154078549848943
arr,BGR,interim_20250520_0615,21,21,0.0,8.0,166.0,27,0.7777777777777778,0.0,0.2962962962962963,6.148148148148148,0.0,0.38095238095238093,7.904761904761905
arr,BGR,pre_20250101_0414,76,74,2.0,10.0,212.0,104,0.7307692307692307,0.019230769230769232,0.09615384615384616,2.0384615384615383,0.02631578947368421,0.13513513513513514,2.789473684210526
arr,BGR,stress_20250415_0519,30,30,0.0,5.0,84.0,35,0.8571428571428571,0.0,0.14285714285714285,2.4,0.0,0.16666666666666666,2.8
arr,BHM,cap_20250616_1025,72,68,4.0,33.0,1582.0,132,0.5454545454545454,0.030303030303030304,0.25,11.984848484848484,0.05555555555555555,0.4852941176470588,21.97222222222222
arr,BHM,interim_20250520_0615,12,11,1.0,0.0,0.0,27,0.4444444444444444,0.037037037037037035,0.0,0.0,0.08333333333333333,0.0,0.0
arr,BNA,cap_20250616_1025,745,726,19.0,231.0,13704.0,132,5.643939393939394,0.14393939393939395,1.75,103.81818181818181,0.025503355704697986,0.3181818181818182,18.394630872483223
arr,BNA,extension_20251026_1231,365,345,20.0,125.0,5725.0,67,5.447761194029851,0.29850746268656714,1.8656716417910448,85.44776119402985,0.0547945205479452,0.36231884057971014,15.684931506849315
arr,BNA,interim_20250520_0615,115,115,0.0,42.0,1545.0,27,4.2592592592592595,0.0,1.5555555555555556,57.22222222222222,0.0,0.3652173913043478,13.434782608695652
arr,BNA,pre_20250101_0414,514,501,13.0,75.0,2413.0,104,4.9423076923076925,0.125,0.7211538461538461,23.201923076923077,0.02529182879377432,0.1497005988023952,4.69455252918288
arr,BNA,stress_20250415_0519,185,176,9.0,91.0,9341.0,35,5.285714285714286,0.2571428571428571,2.6,266.8857142857143,0.04864864864864865,0.5170454545454546,50.49189189189189
arr,BOS,cap_20250616_1025,1418,1353,65.0,469.0,20183.0,132,10.742424242424242,0.49242424242424243,3.553030303030303,152.90151515151516,0.045839210155148094,0.3466371027346637,14.23342736248237
arr,BOS,extension_20251026_1231,674,631,43.0,171.0,7499.0,67,10.059701492537313,0.6417910447761194,2.5522388059701493,111.92537313432835,0.06379821958456973,0.27099841521394613,11.126112759643917
arr,BOS,interim_20250520_0615,207,206,1.0,60.0,3263.0,27,7.666666666666667,0.037037037037037035,2.2222222222222223,120.85185185185185,0.004830917874396135,0.2912621359223301,15.76328502415459
arr,BOS,pre_20250101_0414,1101,1080,21.0,187.0,6313.0,104,10.586538461538462,0.20192307692307693,1.7980769230769231,60.70192307692308,0.01907356948228883,0.17314814814814813,5.733878292461399
arr,BOS,stress_20250415_0519,328,299,29.0,132.0,11513.0,35,9.371428571428572,0.8285714285714286,3.7714285714285714,328.9428571428571,0.08841463414634146,0.4414715719063545,35.10060975609756
arr,BQN,cap_20250616_1025,132,128,4.0,26.0,103.0,132,1.0,0.030303030303030304,0.19696969696969696,0.7803030303030303,0.030303030303030304,0.203125,0.7803030303030303
arr,BQN,extension_20251026_1231,67,66,1.0,14.0,99.0,67,1.0,0.014925373134328358,0.208955223880597,1.4776119402985075,0.014925373134328358,0.21212121212121213,1.4776119402985075
arr,BQN,interim_20250520_0615,27,27,0.0,1.0,2.0,27,1.0,0.0,0.037037037037037035,0.07407407407407407,0.0,0.037037037037037035,0.07407407407407407
arr,BQN,pre_20250101_0414,104,103,1.0,21.0,193.0,104,1.0,0.009615384615384616,0.20192307692307693,1.8557692307692308,0.009615384615384616,0.20388349514563106,1.8557692307692308
arr,BQN,stress_20250415_0519,35,35,0.0,9.0,16.0,35,1.0,0.0,0.2571428571428571,0.45714285714285713,0.0,0.2571428571428571,0.45714285714285713
arr,BTV,cap_20250616_1025,363,345,18.0,98.0,5034.0,132,2.75,0.13636363636363635,0.7424242424242424,38.13636363636363,0.049586776859504134,0.28405797101449276,13.867768595041323
arr,BTV,extension_20251026_1231,75,74,1.0,16.0,622.0,67,1.1194029850746268,0.014925373134328358,0.23880597014925373,9.283582089552239,0.013333333333333334,0.21621621621621623,8.293333333333333
arr,BTV,interim_20250520_0615,54,54,0.0,20.0,955.0,27,2.0,0.0,0.7407407407407407,35.370370370370374,0.0,0.37037037037037035,17.685185185185187
arr,BTV,pre_20250101_0414,211,208,3.0,32.0,958.0,104,2.0288461538461537,0.028846153846153848,0.3076923076923077,9.211538461538462,0.014218009478672985,0.15384615384615385,4.540284360189573
arr,BTV,stress_20250415_0519,67,61,6.0,28.0,2834.0,35,1.9142857142857144,0.17142857142857143,0.8,80.97142857142858,0.08955223880597014,0.45901639344262296,42.298507462686565
arr,BUF,cap_20250616_1025,109,106,3.0,16.0,118.0,132,0.8257575757575758,0.022727272727272728,0.12121212121212122,0.8939393939393939,0.027522935779816515,0.1509433962264151,1.0825688073394495
arr,BUF,extension_20251026_1231,127,124,3.0,18.0,233.0,67,1.8955223880597014,0.04477611940298507,0.26865671641791045,3.4776119402985075,0.023622047244094488,0.14516129032258066,1.8346456692913387
arr,BUF,interim_20250520_0615,11,11,0.0,3.0,53.0,27,0.4074074074074074,0.0,0.1111111111111111,1.962962962962963,0.0,0.2727272727272727,4.818181818181818
arr,BUF,pre_20250101_0414,145,142,3.0,7.0,300.0,104,1.3942307692307692,0.028846153846153848,0.0673076923076923,2.8846153846153846,0.020689655172413793,0.04929577464788732,2.0689655172413794
arr,BUF,stress_20250415_0519,35,35,0.0,1.0,59.0,35,1.0,0.0,0.02857142857142857,1.6857142857142857,0.0,0.02857142857142857,1.6857142857142857
arr,BZN,cap_20250616_1025,223,222,1.0,75.0,5293.0,132,1.6893939393939394,0.007575757575757576,0.5681818181818182,40.09848484848485,0.004484304932735426,0.33783783783783783,23.73542600896861
arr,BZN,extension_20251026_1231,16,16,0.0,5.0,22.0,67,0.23880597014925373,0.0,0.07462686567164178,0.3283582089552239,0.0,0.3125,1.375
arr,BZN,interim_20250520_0615,25,25,0.0,4.0,414.0,27,0.9259259259259259,0.0,0.14814814814814814,15.333333333333334,0.0,0.16,16.56
arr,BZN,pre_20250101_0414,101,100,1.0,21.0,611.0,104,0.9711538461538461,0.009615384615384616,0.20192307692307693,5.875,0.009900990099009901,0.21,6.0495049504950495
arr,CAE,cap_20250616_1025,51,46,5.0,22.0,3040.0,132,0.38636363636363635,0.03787878787878788,0.16666666666666666,23.03030303030303,0.09803921568627451,0.4782608695652174,59.6078431372549
arr,CAE,interim_20250520_0615,7,7,0.0,1.0,58.0,27,0.25925925925925924,0.0,0.037037037037037035,2.1481481481481484,0.0,0.14285714285714285,8.285714285714286
arr,CHA,cap_20250616_1025,51,48,3.0,19.0,868.0,132,0.38636363636363635,0.022727272727272728,0.14393939393939395,6.575757575757576,0.058823529411764705,0.3958333333333333,17.019607843137255
arr,CHA,interim_20250520_0615,7,7,0.0,0.0,0.0,27,0.25925925925925924,0.0,0.0,0.0,0.0,0.0,0.0
arr,CHS,cap_20250616_1025,494,474,20.0,107.0,8298.0,132,3.742424242424242,0.15151515151515152,0.8106060606060606,62.86363636363637,0.04048582995951417,0.22573839662447256,16.79757085020243
arr,CHS,extension_20251026_1231,287,276,11.0,85.0,5004.0,67,4.2835820895522385,0.16417910447761194,1.2686567164179106,74.68656716417911,0.03832752613240418,0.3079710144927536,17.43554006968641
arr,CHS,interim_20250520_0615,87,86,1.0,20.0,952.0,27,3.2222222222222223,0.037037037037037035,0.7407407407407407,35.25925925925926,0.011494252873563218,0.23255813953488372,10.942528735632184
arr,CHS,pre_20250101_0414,402,390,12.0,55.0,2135.0,104,3.8653846153846154,0.11538461538461539,0.5288461538461539,20.528846153846153,0.029850746268656716,0.14102564102564102,5.310945273631841
arr,CHS,stress_20250415_0519,164,149,15.0,70.0,7790.0,35,4.685714285714286,0.42857142857142855,2.0,222.57142857142858,0.09146341463414634,0.4697986577181208,47.5
arr,CLE,cap_20250616_1025,734,716,18.0,184.0,12873.0,132,5.5606060606060606,0.13636363636363635,1.393939393939394,97.52272727272727,0.02452316076294278,0.2569832402234637,17.53814713896458
arr,CLE,extension_20251026_1231,424,406,18.0,130.0,6908.0,67,6.3283582089552235,0.26865671641791045,1.9402985074626866,103.1044776119403,0.04245283018867924,0.32019704433497537,16.29245283018868
arr,CLE,interim_20250520_0615,108,108,0.0,22.0,1856.0,27,4.0,0.0,0.8148148148148148,68.74074074074075,0.0,0.2037037037037037,17.185185185185187
arr,CLE,pre_20250101_0414,576,565,11.0,93.0,3640.0,104,5.538461538461538,0.10576923076923077,0.8942307692307693,35.0,0.019097222222222224,0.16460176991150444,6.319444444444445
arr,CLE,stress_20250415_0519,132,118,14.0,56.0,5688.0,35,3.7714285714285714,0.4,1.6,162.5142857142857,0.10606060606060606,0.4745762711864407,43.09090909090909
arr,CLT,cap_20250616_1025,1342,1290,52.0,408.0,18615.0,132,10.166666666666666,0.3939393939393939,3.090909090909091,141.02272727272728,0.038748137108792845,0.31627906976744186,13.871087928464977
arr,CLT,extension_20251026_1231,717,694,23.0,213.0,8263.0,67,10.701492537313433,0.34328358208955223,3.1791044776119404,123.32835820895522,0.03207810320781032,0.3069164265129683,11.524407252440724
arr,CLT,interim_20250520_0615,227,226,1.0,83.0,2943.0,27,8.407407407407407,0.037037037037037035,3.074074074074074,109.0,0.004405286343612335,0.3672566371681416,12.964757709251101
arr,CLT,pre_20250101_0414,1085,1065,20.0,254.0,7020.0,104,10.432692307692308,0.19230769230769232,2.4423076923076925,67.5,0.018433179723502304,0.23849765258215963,6.470046082949309
arr,CLT,stress_20250415_0519,305,296,9.0,176.0,13614.0,35,8.714285714285714,0.2571428571428571,5.0285714285714285,388.9714285714286,0.029508196721311476,0.5945945945945946,44.636065573770495
arr,CMH,cap_20250616_1025,736,709,27.0,157.0,6173.0,132,5.575757575757576,0.20454545454545456,1.1893939393939394,46.765151515151516,0.036684782608695655,0.22143864598025387,8.387228260869565
arr,CMH,extension_20251026_1231,415,389,26.0,113.0,3659.0,67,6.1940298507462686,0.3880597014925373,1.6865671641791045,54.61194029850746,0.06265060240963856,0.29048843187660667,8.816867469879519
arr,CMH,interim_20250520_0615,87,87,0.0,15.0,420.0,27,3.2222222222222223,0.0,0.5555555555555556,15.555555555555555,0.0,0.1724137931034483,4.827586206896552
arr,CMH,pre_20250101_0414,409,404,5.0,55.0,1351.0,104,3.9326923076923075,0.04807692307692308,0.5288461538461539,12.990384615384615,0.012224938875305624,0.13613861386138615,3.3031784841075793
arr,CMH,stress_20250415_0519,105,83,22.0,25.0,2252.0,35,3.0,0.6285714285714286,0.7142857142857143,64.34285714285714,0.20952380952380953,0.30120481927710846,21.447619047619046
arr,CVG,cap_20250616_1025,151,139,12.0,30.0,2115.0,132,1.143939393939394,0.09090909090909091,0.22727272727272727,16.022727272727273,0.07947019867549669,0.2158273381294964,14.006622516556291
arr,CVG,extension_20251026_1231,21,21,0.0,2.0,50.0,67,0.31343283582089554,0.0,0.029850746268656716,0.746268656716418,0.0,0.09523809523809523,2.380952380952381
arr,CVG,interim_20250520_0615,34,34,0.0,2.0,49.0,27,1.2592592592592593,0.0,0.07407407407407407,1.8148148148148149,0.0,0.058823529411764705,1.4411764705882353
arr,CVG,pre_20250101_0414,259,253,6.0,37.0,1011.0,104,2.4903846153846154,0.057692307692307696,0.3557692307692308,9.721153846153847,0.023166023166023165,0.14624505928853754,3.9034749034749034
arr,CVG,stress_20250415_0519,44,42,2.0,9.0,855.0,35,1.2571428571428571,0.05714285714285714,0.2571428571428571,24.428571428571427,0.045454545454545456,0.21428571428571427,19.431818181818183
arr,DCA,cap_20250616_1025,73,72,1.0,11.0,647.0,132,0.553030303030303,0.007575757575757576,0.08333333333333333,4.901515151515151,0.0136986301369863,0.1527777777777778,8.863013698630137
arr,DCA,extension_20251026_1231,67,65,2.0,8.0,255.0,67,1.0,0.029850746268656716,0.11940298507462686,3.8059701492537314,0.029850746268656716,0.12307692307692308,3.8059701492537314
arr,DCA,interim_20250520_0615,54,54,0.0,9.0,459.0,27,2.0,0.0,0.3333333333333333,17.0,0.0,0.16666666666666666,8.5
