phase,phase_label,target_per_hour,arr_ops_per_day,dep_ops_per_day,risk_index,risk_low,risk_high,arr_market_access_index,arr_carrier_cut_ops_per_day,arr_carrier_cut_share_top,arr_carrier_cut_hhi,arr_domestic_pw_retention,arr_international_pw_retention,dep_market_access_index,dep_carrier_cut_ops_per_day,dep_carrier_cut_share_top,dep_carrier_cut_hhi,dep_domestic_pw_retention,dep_international_pw_retention,domestic_access_loss,international_access_loss,combined_access_loss,combined_burden_index,combined_burden_hhi,pareto_efficient
stress,No formal target,,304.45714285714286,304.65714285714284,1.0,0.7536365074717062,1.3426029368022643,1.0,0.0,0.0,0.0,0.9993498210459831,0.9999450153250145,1.0,0.0,0.0,0.0,0.998651362698378,0.9998145066912929,0.0009994081278195122,0.00012023899184632203,0.0005598235598329171,0.0,0.0,True
interim_28,28/28 construction target,28.0,276.25925925925924,276.18518518518516,0.35509229884656457,0.2574760055911675,0.4741473228188674,1.0714285714285714,32.23597883597884,1.0,1.0,0.9962723073303033,0.9906887380388695,1.0869565217391304,32.63280423280423,1.0,1.0,0.9972544503115276,0.9907842466026064,0.003236621179084631,0.009263507679261984,0.006250064429173308,0.10649689982679338,1.0,True
cap_34,34/34 operating target,34.0,335.0,335.0378787878788,0.5568009917956062,0.4478675060533223,0.7183448575906156,1.1428571428571428,0.0,0.0,0.0,0.9974091529716276,0.9833706705459665,1.173913043478261,0.0,0.0,0.0,0.9974680484068839,0.98484010158346,0.0025613993107442834,0.015894613935286683,0.009228006623015483,0.0,0.0,True
extension_36,36/36 extension target,36.0,346.8059701492537,345.82089552238807,0.635263908552067,0.45241187405258826,0.9088606206398582,1.0857142857142856,0.0,0.0,0.0,0.9985943750232207,0.9517760835515701,1.1014492753623188,0.0,0.0,0.0,0.9980467747262305,0.9501954446664703,0.0016794251252744141,0.04901423589097975,0.025346830508127083,0.0,0.0,True
